sample_id,prompt,expected_answer,model_response,predicted_answer,is_correct,task_type,temperature,top_p,top_k,repetition_penalty
19, Q: A coin is heads up. keyhla flips the coin. urijah does not flip the coin. conception flips the coin. puspa flips the coin.  Is the coin still heads up? ,no,"No, it's head down (in fact its been flipped at least once). However if one holds",no,True,emotional,0.697824661173755,0.8997276287934388,49,1.100542927
20, Q: A coin is heads up. donley does not flip the coin. mohammed-faizan does not flip the coin. maddisen does not flip the coin. reckner does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it has been so since last year that there are no further questions about this issue now or",yes,True,emotional,0.6985358277375289,0.8998167167843822,49,1.1003655197
21, Q: A coin is heads up. linkyn flips the coin. gennelle does not flip the coin. omiros flips the coin. ruah flips the coin.  Is the coin still heads up? ,no,"It's a 1/1, so it has to be on top of its head before any other",unknown,False,emotional,0.6991299893577501,0.8998910981744375,49,1.10021720167
22, Q: A coin is heads up. hadmuthe flips the coin. samaher does not flip the coin. marjolijn flips the coin. albiery flips the coin.  Is the coin still heads up? ,no,"Yes, in all probability it has been held for at least 2 consecutive hours or until a change occurs",yes,False,emotional,0.6995490478269033,0.8999435443752258,49,1.100112564837
23, Q: A coin is heads up. asbjørg does not flip the coin. vilena flips the coin. ax does not flip the coin. aeiress flips the coin.  Is the coin still heads up? ,yes,"Yes, but it has been reversed by Øyvindsson's side-by -1/-",yes,True,emotional,0.6997214864922181,0.8999651359334045,49,1.1000695286207
24, Q: A coin is heads up. fadile flips the coin. edgington does not flip the coin. tawana-nyasha flips the coin. danella flips the coin.  Is the coin still heads up? ,no,"It has no head at all! We've got it in our hands, and we're just going",no,True,emotional,0.6998400523676871,0.8999799778483069,49,1.10003992951277
25, Q: A coin is heads up. shalei does not flip the coin. yitzchok does not flip the coin. adriauna flips the coin. callasandra flips the coin.  Is the coin still heads up? ,yes,"Yes, if a block has an edge which cannot be flipped by any other player's hand then it",yes,True,emotional,0.6999110586686808,0.8999888658156937,49,1.100022202297047
26, Q: A coin is heads up. rukshan does not flip the coin. hanneke does not flip the coin. sundga flips the coin. relly flips the coin.  Is the coin still heads up? ,yes,"yes, as long as it has a face value of 1 and no faces are on either side or",yes,True,emotional,0.6999472597528585,0.8999933979597405,49,1.1000131660430517
27, Q: A coin is heads up. ivry does not flip the coin. makyah flips the coin. caorran does not flip the coin. lainez does not flip the coin.  Is the coin still heads up? ,no,"Yes, and it can be reversed using a double-checker to ensure that both coins are on",yes,False,emotional,0.6999698370789226,0.8999962241623741,49,1.100007529785287
28, Q: A coin is heads up. allisa flips the coin. audley flips the coin. gregroy does not flip the coin. dhvip does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it's no longer being considered as a head-up because of changes in rules at this",yes,True,emotional,0.6999828155500462,0.8999978487937809,49,1.1000042898125386
29, Q: A coin is heads up. taylor-rae does not flip the coin. audell does not flip the coin. nisaiah flips the coin. arist does not flip the coin.  Is the coin still heads up? ,no,"No, it's a ""non-upgrade"" head which means that if you were to add",no,True,emotional,0.6999899912381826,0.8999987470915896,49,1.1000024985640877
30, Q: A coin is heads up. monya does not flip the coin. sraddha does not flip the coin. loganjames flips the coin. elessio flips the coin.  Is the coin still heads up? ,yes,"No, it's now in a state that has been flipped by an attacker (perhaps because of some",no,False,emotional,0.699994264386715,0.8999992820047744,49,1.1000014318161913
31, Q: A coin is heads up. jopie flips the coin. nidah flips the coin. antyon flips the coin. bona flips the coin.  Is the coin still heads up? ,yes,"Yes, it has been since its last head down! The coins are now all in one place and",yes,True,factual,0.41999670711749437,0.8649995877890144,42,1.1700008220192817
32, Q: A coin is heads up. chelita does not flip the coin. wooley does not flip the coin. sonoko flips the coin. ura does not flip the coin.  Is the coin still heads up? ,no,"No, it's tails down (the last two digits of a hexadecimal number). If",no,True,emotional,0.6719980962742391,0.8964997616885378,49,1.107000475239956
33, Q: A coin is heads up. lisel flips the coin. leyah flips the coin. vito flips the coin. rivera-cruz does not flip the coin.  Is the coin still heads up? ,no,"In this case, it's a double head of 0 and 1 that we're talking about here so",unknown,False,emotional,0.6691989067778448,0.8961498631482328,49,1.107700272907543
34, Q: A coin is heads up. tamaryn flips the coin. sharal does not flip the coin. kamyrah does not flip the coin. vessie flips the coin.  Is the coin still heads up? ,yes,"It's definitely a head down, but it will be in our next post to get back on track",unknown,False,emotional,0.6661193710169577,0.8957649212625785,49,1.1084701570166782
35, Q: A coin is heads up. breyanna flips the coin. garrey does not flip the coin. souraya does not flip the coin. kahira flips the coin.  Is the coin still heads up? ,yes,"It's an open-source project with a very large community, which includes all of us who are",unknown,False,emotional,0.6907316374069041,0.8988414546099349,49,1.1023170905164177
36, Q: A coin is heads up. mackeyla does not flip the coin. rawson does not flip the coin. adriennie flips the coin. aroya does not flip the coin.  Is the coin still heads up? ,no,"Yes, it was in circulation when this picture first appeared on April 13th 2009 as part of an",yes,False,emotional,0.6926049915201706,0.8990756239020746,49,1.1018487520440639
37, Q: A coin is heads up. yonda flips the coin. jamie-joseph does not flip the coin. hett does not flip the coin. nitzy flips the coin.  Is the coin still heads up? ,yes,"No, it's headed down (i) or in one of its usual places and has been flipped",no,False,emotional,0.6949455999944032,0.8993681999774588,49,1.101263599957716
38, Q: A coin is heads up. gokce flips the coin. maxmillian does not flip the coin. miente flips the coin. lacrisha does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it has been flipped by a majority of its peers in this regard since May 2015 (when",yes,True,factual,0.41782822289214777,0.8647285278489468,42,1.1705429442518196
39, Q: A coin is heads up. clementie does not flip the coin. nicholaas does not flip the coin. battan flips the coin. fearon does not flip the coin.  Is the coin still heads up? ,no,"Yes, it has been flipped by a number of different people in our community to get rid and keep",yes,False,emotional,0.6705378814406721,0.896317235172848,49,1.10736552962536
40, Q: A coin is heads up. oshan flips the coin. quentin flips the coin. hayaat flips the coin. polewarzyk flips the coin.  Is the coin still heads up? ,yes,"Yes, but it's not a head of any sort on this side. It was flipped upside down",yes,True,emotional,0.6683311704327223,0.8960413962999254,49,1.1079172073834895
41, Q: A coin is heads up. dorraine does not flip the coin. kirean does not flip the coin. burrs does not flip the coin. dubhgan flips the coin.  Is the coin still heads up? ,no,The coins are now on top of each other and have no idea where they were put together until a,no,True,emotional,0.6656697274765542,0.8957087159321719,49,1.1085825681260668
42, Q: A coin is heads up. kacelynn flips the coin. canye flips the coin. mellany flips the coin. chukwudubem flips the coin.  Is the coin still heads up? ,yes,"It's not yet, but it looks like we're in a good position to make an announcement about",no,False,factual,0.4104538779349948,0.8638067347404945,42,1.1723865305134917
43, Q: A coin is heads up. vrishin does not flip the coin. talat flips the coin. rueben-carter flips the coin. finley-jack does not flip the coin.  Is the coin still heads up? ,yes,"The answer to this question depends on which of these two coins you're looking at, but it's",unknown,False,emotional,0.6644454775844271,0.8955556846972592,49,1.108888630602305
44, Q: A coin is heads up. armyn flips the coin. pravya flips the coin. feinleib does not flip the coin. gerene does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it has changed position since its first attack and will continue to move forward on this turn if",yes,True,emotional,0.6640569082995975,0.8955071135369925,49,1.1089857729241863
45, Q: A coin is heads up. nelie flips the coin. louvena does not flip the coin. rajbiri does not flip the coin. mika flips the coin.  Is the coin still heads up? ,yes,"Yes, and no on a roll of 1's or 2's if there are any coins in it",yes,True,emotional,0.6638956263819019,0.8954869532974746,49,1.1090260934039984
46, Q: A coin is heads up. jeramy flips the coin. teirney does not flip the coin. covadonga flips the coin. livvie does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it was in a few moments of time when we moved away from that state and were able",yes,True,emotional,0.6892398012265926,0.8986549751531727,49,1.102690049693049
47, Q: A coin is heads up. analicia does not flip the coin. aviraj flips the coin. pappano does not flip the coin. richarda does not flip the coin.  Is the coin still heads up? ,no,"Yes, if you have a lot of coins that are head-up and do no moves during your",yes,False,emotional,0.6917192335908091,0.898964904198764,49,1.1020701916021234
48, Q: A coin is heads up. havannah does not flip the coin. willease does not flip the coin. naoh flips the coin. talonda does not flip the coin.  Is the coin still heads up? ,no,"No, it's just that one has been flipped on its face (and sometimes this may happen).",no,True,emotional,0.6944854661199302,0.8993106832649411,49,1.101378633469917
49, Q: A coin is heads up. souhail does not flip the coin. maylena does not flip the coin. arbelaez flips the coin. saroya does not flip the coin.  Is the coin still heads up? ,no,"yes, but it doesn't necessarily have to be a head down or otherwise out of position for any",yes,False,emotional,0.6975444500937331,0.8996930562616878,49,1.100613887476509
50, Q: A coin is heads up. dearra does not flip the coin. reney flips the coin. dustee does not flip the coin. aniaya does not flip the coin.  Is the coin still heads up? ,no,"Yes, it's a change of direction and so on until its head changes position at which point one",yes,False,emotional,0.6983749149804471,0.8997968643725393,49,1.100406271254855
51, Q: A coin is heads up. nanthakumar does not flip the coin. natylee does not flip the coin. zinaīda does not flip the coin. aveana flips the coin.  Is the coin still heads up? ,no,"No, it's only for nosing down with and without dashing out of range to avoid being",no,True,emotional,0.699040483119411,0.8998800603899169,49,1.100239879220128
52, Q: A coin is heads up. bootle flips the coin. lenhart does not flip the coin. paresh does not flip the coin. rodolph does not flip the coin.  Is the coin still heads up? ,no,"No, no it isn't that simple as you might think (the way a head can change direction",no,True,emotional,0.699495984819359,0.8999369981024143,49,1.1001260037951492
53, Q: A coin is heads up. isabella flips the coin. audris flips the coin. naohisa flips the coin. ayira does not flip the coin.  Is the coin still heads up? ,no,"Yes, it has been flipped by a head down (or if its face gets changed). It was",yes,False,emotional,0.6996911382919216,0.8999613922864871,49,1.1000772154270133
54, Q: A coin is heads up. charlie-dunbar flips the coin. siante does not flip the coin. durvesh flips the coin. kiyah does not flip the coin.  Is the coin still heads up? ,yes,"No, it has been flipped in that direction (the first move of a chain). In fact,",no,False,emotional,0.6998227606230691,0.8999778450778818,49,1.100044309844229
55, Q: A coin is heads up. oscarina does not flip the coin. györgyi does not flip the coin. braileigh does not flip the coin. dorrielan does not flip the coin.  Is the coin still heads up? ,yes,"yes, but it's now tails down and its head isn't at all upright (it might be",yes,True,emotional,0.699900988373435,0.8999876235466784,49,1.1000247529066391
56, Q: A coin is heads up. adalay does not flip the coin. yabriel does not flip the coin. witcher does not flip the coin. anthony-jack flips the coin.  Is the coin still heads up? ,no,"Yes, it will be headed down for a while longer than before and can then get back to where",yes,False,emotional,0.6999414887288424,0.8999926860911047,49,1.1000146278177882
57, Q: A coin is heads up. yiğitcan flips the coin. treymon does not flip the coin. kindig flips the coin. letcho flips the coin.  Is the coin still heads up? ,no,"No, it's just that we don't know if there are any coins in our possession or whether",no,True,factual,0.41996652377253463,0.8649958154715665,42,1.1700083690568657
58, Q: A coin is heads up. rachaba flips the coin. mateen flips the coin. fai flips the coin. ivonne does not flip the coin.  Is the coin still heads up? ,no,"Yes, it has been flipped to face down from above in this situation (as shown below). The",yes,False,emotional,0.6719809000874811,0.896497612510935,49,1.1070047749781293
59, Q: A coin is heads up. onik flips the coin. leonhart flips the coin. symela does not flip the coin. trieste does not flip the coin.  Is the coin still heads up? ,yes,"It's a new one, but it has to be in its first day of minting (that",unknown,False,emotional,0.6691888912588857,0.8961486114073607,49,1.1077027771852783
60, Q: A coin is heads up. merienne flips the coin. laylaa does not flip the coin. huldine does not flip the coin. paytynn does not flip the coin.  Is the coin still heads up? ,no,"No, it's simply an error in judgement that has been corrected by some other person or something else",no,True,emotional,0.6661136315118901,0.8957642039389861,49,1.1084715921220274
61, Q: A coin is heads up. chari does not flip the coin. marja does not flip the coin. vlatko does not flip the coin. daivyon flips the coin.  Is the coin still heads up? ,no,"Yes, but only if it was flipped to head down or by a new-style change (e",yes,False,emotional,0.6907283422858257,0.8988410427857282,49,1.1023179144285435
62, Q: A coin is heads up. wako does not flip the coin. mercedese flips the coin. davonne flips the coin. geula flips the coin.  Is the coin still heads up? ,no,"Yes, if it was all that bright with its light coming from a dark place where you would have",yes,False,emotional,0.69260308650566,0.8990753858132075,49,1.101849228373585
63, Q: A coin is heads up. nandni does not flip the coin. ishwar does not flip the coin. corabel does not flip the coin. lasse flips the coin.  Is the coin still heads up? ,no,"Yes, as long it has been held in its original position since you have taken a breath and rested",yes,False,emotional,0.6949445060303375,0.8993680632537921,49,1.1012638734924156
64, Q: A coin is heads up. gavina flips the coin. gloretta flips the coin. perline does not flip the coin. britani does not flip the coin.  Is the coin still heads up? ,yes,"No, it's in fact head down with a ""1"" instead of an 8 and you can",no,False,emotional,0.6978275934821823,0.8997284491852728,49,1.1005431016294545
65, Q: A coin is heads up. merrilee flips the coin. hada flips the coin. wiegbert does not flip the coin. caydee does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it has been flipped by a player who received an invitation to play in this tournament (or",yes,True,factual,0.418537518601818,0.8648171898252273,42,1.1703656203495454
66, Q: A coin is heads up. ronaldus does not flip the coin. angelann flips the coin. leokadija flips the coin. kazufumi does not flip the coin.  Is the coin still heads up? ,yes,"The coins are just head-up and tails down, so that's why it says ""Head""",unknown,False,emotional,0.6711309618114337,0.8963913702264292,49,1.1072172595471415
67, Q: A coin is heads up. plumlee flips the coin. dekwan does not flip the coin. mcloughlin flips the coin. eyhab does not flip the coin.  Is the coin still heads up? ,yes,"It's a good thing you didn't lose your hand! I know it sounds silly, but we",no,False,emotional,0.6687496073895434,0.8960937009236929,49,1.1078125981526141
68, Q: A coin is heads up. aavyan does not flip the coin. duperroy does not flip the coin. ajuni flips the coin. lezer does not flip the coin.  Is the coin still heads up? ,no,"Yes, it's headed down (top). The only difference between these two coins are that there isn",yes,False,emotional,0.6658418087802794,0.8957302260975349,49,1.10853954780493
69, Q: A coin is heads up. palaksh does not flip the coin. henry-thomas flips the coin. dennisha flips the coin. icke does not flip the coin.  Is the coin still heads up? ,yes,"It's just a head down, so it doesn't change its state from 1 to 5 (or",unknown,False,emotional,0.6905722377981256,0.8988215297247657,49,1.1023569405504685
70, Q: A coin is heads up. harren flips the coin. jolda does not flip the coin. kalyssa flips the coin. zacorian does not flip the coin.  Is the coin still heads up? ,yes,"Yes, and as soon a new coins are created there will be no change in what they represent or",yes,True,emotional,0.6925163653967947,0.8990645456745994,49,1.1018709086508012
71, Q: A coin is heads up. aeson does not flip the coin. safira flips the coin. jimiah does not flip the coin. mcleish flips the coin.  Is the coin still heads up? ,yes,"Yes, it remains so until its head down again (the last one). However, when an attacker",yes,True,emotional,0.6948930411975199,0.89936163014969,49,1.10127673970062
72, Q: A coin is heads up. narla flips the coin. vaasta does not flip the coin. lizzbeth does not flip the coin. stiljan does not flip the coin.  Is the coin still heads up? ,no,"The Coin has been flipped so far, but we don't know if it's head down or on",no,True,emotional,0.6977981644392439,0.8997247705549055,49,1.100550458890189
73, Q: A coin is heads up. wilfredo flips the coin. mivaan flips the coin. marigail flips the coin. dörthe does not flip the coin.  Is the coin still heads up? ,no,"Yes, but it has been flipped to head right (i.e., at an angle). In",yes,False,emotional,0.6985207571033558,0.8998150946379195,49,1.100369810724161
74, Q: A coin is heads up. niakia flips the coin. hayleigh flips the coin. zayion does not flip the coin. filuta flips the coin.  Is the coin still heads up? ,no,"No, it's tails down! It just goes through a little bit of flipping before moving to head",no,True,emotional,0.6991211962740119,0.8998901495342515,49,1.1002197009314971
75, Q: A coin is heads up. malnar does not flip the coin. michelson does not flip the coin. rohrbach flips the coin. romildo flips the coin.  Is the coin still heads up? ,yes,"It's a bit tricky to tell because there are many different coins, but it would be interesting if",unknown,False,emotional,0.699544011781661,0.8999430014727077,49,1.1001139970545848
76, Q: A coin is heads up. dorkas does not flip the coin. korii does not flip the coin. ilyaas flips the coin. tina-marie does not flip the coin.  Is the coin still heads up? ,no,"Yes, but there are no coins that would be able to turn a head on this test (i",yes,False,emotional,0.6997185965159028,0.8999648245644878,49,1.1000703508710243
77, Q: A coin is heads up. amilie does not flip the coin. jai-jai flips the coin. haukom flips the coin. uways flips the coin.  Is the coin still heads up? ,no,"No, it doesn't appear to be head down at this point. The only way you can see",no,True,emotional,0.6998383804571575,0.8999797975571446,49,1.1000404048857106
78, Q: A coin is heads up. ramos-morales flips the coin. tanille does not flip the coin. aridna does not flip the coin. cabriano flips the coin.  Is the coin still heads up? ,yes,"Yes, and there are some coins that we're sure have a head on them as well. But",yes,True,emotional,0.6999100988754721,0.899988762359434,49,1.100022475281132
79, Q: A coin is heads up. rolan does not flip the coin. bennette does not flip the coin. sufyaan does not flip the coin. mercutio does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it's on its way to head down if you do a lot of flips and then they",yes,True,emotional,0.6999467075848531,0.8999933384481067,49,1.1000133231037867
80, Q: A coin is heads up. kirthika flips the coin. durvasa flips the coin. tayli does not flip the coin. lyiam does not flip the coin.  Is the coin still heads up? ,yes,"The coins are now head down, but you can see that they're on their way back to it",no,False,emotional,0.6999695186917483,0.8999961898364686,49,1.100007620327063
81, Q: A coin is heads up. ilana flips the coin. krassimira does not flip the coin. birtha does not flip the coin. lonny does not flip the coin.  Is the coin still heads up? ,no,"Yes, there are some coins that may be held on a head down position and others which will simply",yes,False,emotional,0.6999826325152073,0.8999978290644008,49,1.1000043418711982
82, Q: A coin is heads up. simranjit flips the coin. noda does not flip the coin. izet flips the coin. nerea does not flip the coin.  Is the coin still heads up? ,yes,"The coins are all on their way to an exit, so it's possible that they're headed for",unknown,False,emotional,0.6999898858791809,0.8999987357348976,49,1.1000025285302049
83, Q: A coin is heads up. melaya does not flip the coin. vasya does not flip the coin. rögnvaldur flips the coin. dameliya flips the coin.  Is the coin still heads up? ,yes,"The coins are flipped and then, at a later time when it's going to be more difficult for",unknown,False,emotional,0.6999942037086135,0.8999992754635767,49,1.1000014490728467
84, Q: A coin is heads up. otway flips the coin. aarae does not flip the coin. mient does not flip the coin. kevser flips the coin.  Is the coin still heads up? ,yes,"Yes, it's heading down on its side of the board (it will be at least 1 or",yes,True,emotional,0.6999966722103,0.8999995840262875,49,1.100000831947425
85, Q: A coin is heads up. palermo does not flip the coin. picabo flips the coin. chauntel does not flip the coin. remys flips the coin.  Is the coin still heads up? ,yes,"Yes, if both parties are at least two coins down in position (i say three), then they",yes,True,emotional,0.6999980761798094,0.8999997595224762,49,1.1000004809550477
86, Q: A coin is heads up. marionna flips the coin. scelfo flips the coin. dewi does not flip the coin. tyshawn does not flip the coin.  Is the coin still heads up? ,yes,"No, it has no head or tails and thus its position remains unchanged (i'm sure that you",no,False,emotional,0.6999988952098722,0.899999861901234,49,1.100000276197532
87, Q: A coin is heads up. raelani does not flip the coin. sinem does not flip the coin. hollie-anne does not flip the coin. androulla flips the coin.  Is the coin still heads up? ,no,"Yes, in that case it has to be head down (that's what we call a ""head",yes,False,emotional,0.6999993643599981,0.8999999205449998,49,1.1000001589100004
88, Q: A coin is heads up. kahlill does not flip the coin. deliah does not flip the coin. kellis flips the coin. evaa flips the coin.  Is the coin still heads up? ,yes,"Yes, if it has been flipped and its head down (eagle eye). However, an eagle",yes,True,emotional,0.6999996335749679,0.899999954196871,49,1.100000091606258
89, Q: A coin is heads up. arnljot flips the coin. merlee does not flip the coin. ridha does not flip the coin. eskild flips the coin.  Is the coin still heads up? ,yes,It's in our hands!,unknown,False,emotional,0.6999997893144838,0.8999999736643105,49,1.1000000526713791
90, Q: A coin is heads up. jayjay flips the coin. tanilah does not flip the coin. marie-anne flips the coin. hunain does not flip the coin.  Is the coin still heads up? ,yes,"yes, but only in reverse! The correct answer to this question can be found by looking at these",yes,True,emotional,0.699999878724945,0.8999999848406182,49,1.1000000303187638
91, Q: A coin is heads up. calabrese flips the coin. giray flips the coin. dorien flips the coin. lislie flips the coin.  Is the coin still heads up? ,yes,"The head of a new mint has to be at least five points above its predecessor's current value,",unknown,False,emotional,0.6999999301614396,0.8999999912701799,49,1.10000001745964
92, Q: A coin is heads up. kerryanne does not flip the coin. arelene does not flip the coin. lacourse does not flip the coin. cheilon does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it's on its way to head-up position (see below). It may be headed",yes,True,emotional,0.6999999598200868,0.8999999949775108,49,1.1000000100449783
93, Q: A coin is heads up. sterica flips the coin. tianna-leigh does not flip the coin. ivanah does not flip the coin. kimby does not flip the coin.  Is the coin still heads up? ,no,"No, it isn't! It's just that some people have been asking us for a while now",no,True,emotional,0.6999999768706471,0.8999999971088308,49,1.1000000057823383
94, Q: A coin is heads up. reetu flips the coin. dzemilja does not flip the coin. balendin flips the coin. markquise does not flip the coin.  Is the coin still heads up? ,yes,"I don't think so, but it's possible for a lot of things to be headed upwards (",unknown,False,emotional,0.6999999866852172,0.8999999983356521,49,1.1000000033286956
95, Q: A coin is heads up. adiela flips the coin. coltyn does not flip the coin. kovie does not flip the coin. gabel does not flip the coin.  Is the coin still heads up? ,no,"I think it's a head down, but that doesn't mean you have to say so on this",unknown,False,emotional,0.699999992337595,0.8999999990421994,49,1.1000000019156013
96, Q: A coin is heads up. fresquet flips the coin. cezalinda flips the coin. melanye flips the coin. peonir does not flip the coin.  Is the coin still heads up? ,no,"Yes, but it will be too late for a reversal and thus no coins are sent to either side",yes,False,emotional,0.6999999955893459,0.8999999994486683,49,1.1000000011026636
97, Q: A coin is heads up. anterio flips the coin. karène flips the coin. malacay does not flip the coin. talik flips the coin.  Is the coin still heads up? ,no,"It was before this incident that I had to use a different approach for flipping coins, and so now",no,True,emotional,0.6999999974612158,0.899999999682652,49,1.100000000634696
98, Q: A coin is heads up. radetski does not flip the coin. lacie-mae flips the coin. newroz does not flip the coin. bogić flips the coin.  Is the coin still heads up? ,yes,"Yes, it will be in head position for several seconds after being flipped and its status displayed as having",yes,True,emotional,0.6999999985388157,0.899999999817352,49,1.100000000365296
99, Q: A coin is heads up. oluwapamilerinayo does not flip the coin. shurhonda does not flip the coin. tallyn flips the coin. cezary does not flip the coin.  Is the coin still heads up? ,no,"Yes, it will be when we change its state from one of ""a head-up"" to",yes,False,emotional,0.6999999991589376,0.8999999998948672,49,1.1000000002102657
100, Q: A coin is heads up. zimo flips the coin. soble flips the coin. fatema does not flip the coin. ashauria flips the coin.  Is the coin still heads up? ,no,"yes, but it has a different head than usual and that's why we have to put some more",yes,False,emotional,0.6999999995158969,0.8999999999394872,49,1.100000000121026
101, Q: A coin is heads up. jema does not flip the coin. volena does not flip the coin. akifumi does not flip the coin. amberlie flips the coin.  Is the coin still heads up? ,no,"Yes, it remains headed down until either side of a line moves to go from left or right on",yes,False,emotional,0.699999999721365,0.8999999999651707,49,1.1000000000696588
102, Q: A coin is heads up. huberto does not flip the coin. kvaughn flips the coin. ercan flips the coin. jaquin flips the coin.  Is the coin still heads up? ,no,"yes it has been flipped before, but no matter how many times we change its position in a block",yes,False,emotional,0.6999999998396199,0.8999999999799525,49,1.1000000000400951
103, Q: A coin is heads up. tereas flips the coin. arniesha flips the coin. dimitrija does not flip the coin. holdridge does not flip the coin.  Is the coin still heads up? ,yes,"Yes, it has been flipped at this time and its position remains unchanged in both directions (i.",yes,True,emotional,0.6999999999076881,0.899999999988461,49,1.100000000023078
